nohup: ignoring input
[02:47:10] Fetched 100 candles.
[02:48:10] Fetched 100 candles.
[02:49:10] Fetched 100 candles.
[02:50:11] Fetched 100 candles.
[02:51:11] Fetched 100 candles.
[02:52:11] Fetched 100 candles.
[02:53:12] Fetched 100 candles.
[02:54:12] Fetched 100 candles.
[02:55:12] Fetched 100 candles.
[02:56:13] Fetched 100 candles.
[02:57:13] Fetched 100 candles.
[02:58:13] Fetched 100 candles.
[02:59:14] Fetched 100 candles.
[03:00:14] Fetched 100 candles.
[03:01:15] Fetched 100 candles.
[03:02:15] Fetched 100 candles.
[03:03:16] Fetched 100 candles.
[03:04:16] Fetched 100 candles.
[03:05:17] Fetched 100 candles.
[03:06:17] Fetched 100 candles.
[03:07:17] Fetched 100 candles.
[03:08:18] Fetched 100 candles.
[03:09:18] Fetched 100 candles.
[03:10:19] Fetched 100 candles.
[03:11:19] Fetched 100 candles.
[03:12:19] Fetched 100 candles.
[03:13:20] Fetched 100 candles.
[03:14:20] Fetched 100 candles.
[03:15:20] Fetched 100 candles.
[03:16:21] Fetched 100 candles.
[03:17:21] Fetched 100 candles.
[03:18:21] Fetched 100 candles.
[03:19:22] Fetched 100 candles.
[03:20:22] Fetched 100 candles.
[03:21:23] Fetched 100 candles.
[03:22:23] Fetched 100 candles.
[03:23:23] Fetched 100 candles.
[03:24:24] Fetched 100 candles.
[03:25:24] Fetched 100 candles.
[03:26:24] Fetched 100 candles.
[03:27:25] Fetched 100 candles.
[03:28:25] Fetched 100 candles.
[03:29:25] Fetched 100 candles.
[03:30:26] Fetched 100 candles.
[03:31:26] Fetched 100 candles.
[03:32:26] Fetched 100 candles.
[03:33:27] Fetched 100 candles.
[03:34:27] Fetched 100 candles.
[03:35:28] Fetched 100 candles.
[03:36:28] Fetched 100 candles.
[03:37:28] Fetched 100 candles.
[03:38:29] Fetched 100 candles.
[03:39:30] Fetched 100 candles.
[03:40:30] Fetched 100 candles.
[03:41:30] Fetched 100 candles.
[03:42:31] Fetched 100 candles.
[03:43:32] Fetched 100 candles.
[03:44:32] Fetched 100 candles.
[03:45:32] Fetched 100 candles.
[03:46:33] Fetched 100 candles.
[03:47:33] Fetched 100 candles.
[03:48:33] Fetched 100 candles.
[03:49:34] Fetched 100 candles.
[03:50:34] Fetched 100 candles.
[03:51:34] Fetched 100 candles.
[03:52:35] Fetched 100 candles.
[03:53:35] Fetched 100 candles.
[03:54:35] Fetched 100 candles.
[03:55:36] Fetched 100 candles.
[03:56:36] Fetched 100 candles.
[03:57:36] Fetched 100 candles.
[03:58:37] Fetched 100 candles.
[03:59:37] Fetched 100 candles.
[04:00:38] Fetched 100 candles.
[04:01:38] Fetched 100 candles.
[04:02:38] Fetched 100 candles.
[04:03:39] Fetched 100 candles.
[04:04:39] Fetched 100 candles.
[04:05:39] Fetched 100 candles.
[04:06:40] Fetched 100 candles.
[04:07:40] Fetched 100 candles.
[04:08:40] Fetched 100 candles.
[04:09:41] Fetched 100 candles.
[04:10:41] Fetched 100 candles.
[04:11:41] Fetched 100 candles.
[04:12:42] Fetched 100 candles.
[04:13:42] Fetched 100 candles.
[04:14:42] Fetched 100 candles.
[04:15:43] Fetched 100 candles.
[04:16:43] Fetched 100 candles.
[04:17:43] Fetched 100 candles.
[04:18:44] Fetched 100 candles.
[04:19:44] Fetched 100 candles.
[04:20:45] Fetched 100 candles.
[04:21:45] Fetched 100 candles.
[04:22:45] Fetched 100 candles.
[04:23:46] Fetched 100 candles.
[04:24:46] Fetched 100 candles.
[04:25:46] Fetched 100 candles.
[04:26:47] Fetched 100 candles.
[04:27:47] Fetched 100 candles.
[04:28:47] Fetched 100 candles.
[04:29:48] Fetched 100 candles.
[04:30:48] Fetched 100 candles.
[04:31:48] Fetched 100 candles.
[04:32:49] Fetched 100 candles.
[04:33:49] Fetched 100 candles.
[04:34:50] Fetched 100 candles.
[04:35:50] Fetched 100 candles.
[04:36:50] Fetched 100 candles.
[04:37:51] Fetched 100 candles.
[04:38:51] Fetched 100 candles.
[04:39:51] Fetched 100 candles.
[04:40:52] Fetched 100 candles.
[04:41:52] Fetched 100 candles.
[04:42:52] Fetched 100 candles.
[04:43:53] Fetched 100 candles.
[04:44:53] Fetched 100 candles.
[04:45:53] Fetched 100 candles.
[04:46:54] Fetched 100 candles.
[04:47:54] Fetched 100 candles.
[04:48:55] Fetched 100 candles.
[04:49:55] Fetched 100 candles.
[04:50:56] Fetched 100 candles.
[04:51:56] Fetched 100 candles.
[04:52:56] Fetched 100 candles.
[04:53:57] Fetched 100 candles.
[04:54:57] Fetched 100 candles.
[04:55:57] Fetched 100 candles.
[04:56:58] Fetched 100 candles.
[04:57:58] Fetched 100 candles.
[04:58:59] Fetched 100 candles.
[04:59:59] Fetched 100 candles.
[05:00:59] Fetched 100 candles.
[05:02:00] Fetched 99 candles.
[05:03:00] Fetched 99 candles.
[05:04:00] Fetched 99 candles.
[05:05:01] Fetched 100 candles.
[05:06:01] Fetched 100 candles.
[05:07:02] Fetched 100 candles.
[05:08:02] Fetched 100 candles.
[05:09:03] Fetched 100 candles.
[05:10:03] Fetched 100 candles.
[05:11:03] Fetched 100 candles.
[05:12:04] Fetched 100 candles.
[05:13:04] Fetched 100 candles.
[05:14:04] Fetched 100 candles.
[05:15:05] Fetched 100 candles.
[05:16:05] Fetched 100 candles.
[05:17:05] Fetched 100 candles.
[05:18:06] Fetched 100 candles.
[05:19:06] Fetched 100 candles.
[05:20:06] Fetched 100 candles.
[05:21:07] Fetched 100 candles.
[05:22:07] Fetched 100 candles.
[05:23:08] Fetched 100 candles.
[05:24:08] Fetched 100 candles.
